Alpha,Temp
-0.70,0.3505         
-0.80,0.2305 
-0.90,0.1200 
-0.95,0.0600 
-0.99,0.0121 
-1.01,0.0121 
-1.10,0.1200
-1.20,0.2300
-1.30,0.3500

